"condicion","image","Label","Area","Perim.","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"51120_T1_Hipoxia","IMG_2343","Mean",10853.654,494.777,0.538,129.954,2496.704,1855.577,81.833,109.433,1.171,0.864,0.937
"51120_T1_Hipoxia","IMG_2343","SD",5688.148,128.889,0.138,32.931,1394.785,909.644,49.744,28.955,0.136,0.087,0.027
"51120_T1_Hipoxia","IMG_2343","Min",2046.459,249.47,0.251,65.461,104,13,2.005,49.667,1.003,0.601,0.852
"51120_T1_Hipoxia","IMG_2343","Max",30499.937,815.133,0.879,211.924,4809,3292,174.846,186.624,1.663,0.997,0.986
"51120_T1_Hipoxia","IMG_2344","Mean",10853.654,494.777,0.538,129.954,2496.704,1855.577,81.833,109.433,1.171,0.864,0.937
"51120_T1_Hipoxia","IMG_2344","SD",5688.148,128.889,0.138,32.931,1394.785,909.644,49.744,28.955,0.136,0.087,0.027
"51120_T1_Hipoxia","IMG_2344","Min",2046.459,249.47,0.251,65.461,104,13,2.005,49.667,1.003,0.601,0.852
"51120_T1_Hipoxia","IMG_2344","Max",30499.937,815.133,0.879,211.924,4809,3292,174.846,186.624,1.663,0.997,0.986
"51120_T1_Hipoxia","IMG_2345","Mean",10853.654,494.777,0.538,129.954,2496.704,1855.577,81.833,109.433,1.171,0.864,0.937
"51120_T1_Hipoxia","IMG_2345","SD",5688.148,128.889,0.138,32.931,1394.785,909.644,49.744,28.955,0.136,0.087,0.027
"51120_T1_Hipoxia","IMG_2345","Min",2046.459,249.47,0.251,65.461,104,13,2.005,49.667,1.003,0.601,0.852
"51120_T1_Hipoxia","IMG_2345","Max",30499.937,815.133,0.879,211.924,4809,3292,174.846,186.624,1.663,0.997,0.986
"51121_T2_Hipoxia","IMG_2350","Mean",10853.654,494.777,0.538,129.954,2496.704,1855.577,81.833,109.433,1.171,0.864,0.937
"51121_T2_Hipoxia","IMG_2350","SD",5688.148,128.889,0.138,32.931,1394.785,909.644,49.744,28.955,0.136,0.087,0.027
"51121_T2_Hipoxia","IMG_2350","Min",2046.459,249.47,0.251,65.461,104,13,2.005,49.667,1.003,0.601,0.852
"51121_T2_Hipoxia","IMG_2350","Max",30499.937,815.133,0.879,211.924,4809,3292,174.846,186.624,1.663,0.997,0.986
"51121_T2_Hipoxia","IMG_2351","Mean",10853.654,494.777,0.538,129.954,2496.704,1855.577,81.833,109.433,1.171,0.864,0.937
"51121_T2_Hipoxia","IMG_2351","SD",5688.148,128.889,0.138,32.931,1394.785,909.644,49.744,28.955,0.136,0.087,0.027
"51121_T2_Hipoxia","IMG_2351","Min",2046.459,249.47,0.251,65.461,104,13,2.005,49.667,1.003,0.601,0.852
"51121_T2_Hipoxia","IMG_2351","Max",30499.937,815.133,0.879,211.924,4809,3292,174.846,186.624,1.663,0.997,0.986
"51121_T2_Hipoxia","IMG_2352","Mean",10853.654,494.777,0.538,129.954,2496.704,1855.577,81.833,109.433,1.171,0.864,0.937
"51121_T2_Hipoxia","IMG_2352","SD",5688.148,128.889,0.138,32.931,1394.785,909.644,49.744,28.955,0.136,0.087,0.027
"51121_T2_Hipoxia","IMG_2352","Min",2046.459,249.47,0.251,65.461,104,13,2.005,49.667,1.003,0.601,0.852
"51121_T2_Hipoxia","IMG_2352","Max",30499.937,815.133,0.879,211.924,4809,3292,174.846,186.624,1.663,0.997,0.986
